"","X","huc12","states","name","areasqkm","areaacres"
"36249","36249","020200010605","NY","Valentine Pond-Schroon River",45.34,11204.27
"36250","36250","020200010606","NY","Spuytenduivel Brook",107.54,26574.65
"37402","37402","041201010402","NY,PA","Twentymile Creek",89.67,22158.64
"37404","37404","041201010403","NY,PA","Sixteenmile Creek",48.41,11961.67
"37405","37405","041201010102","NY","Tupper Creek-Walnut Creek",69.5,17173.95
"37407","37407","041201010201","NY","Beaver Creek-Frontal Lake Erie",71.87,17759.13
"37408","37408","041201010203","NY","Canadaway Creek",104.43,25805.06
"37410","37410","041201020210","NY","Big Indian Creek-Cattaraugus Creek",76.57,18920.74
"37411","37411","041201010204","NY","Little Canadaway Creek-Frontal Lake Erie",36.7,9069.38
"37412","37412","041201010301","NY","Slippery Rock Creek-Frontal Lake Erie",65.66,16224.27
"37413","37413","041201010302","NY","Bournes Creek-Frontal Lake Erie",47.09,11636.48
"37414","37414","041201010303","NY","Chautauqua Creek",91.59,22631.5
"37415","37415","041201030306","NY","Buffalo River",49.87,12322.13
"37416","37416","041201030401","NY","Smoke Creek",86.07,21267.24
"37418","37418","041201030506","NY","Lower Eighteenmile Creek",33.11,8180.74
"37420","37420","041201030601","NY","Little Sister Creek-Frontal Lake Erie",50.38,12448.09
"37422","37422","041201030604","NY","Delaware Creek-Frontal Lake Erie",69.07,17066.48
"37918","37918","020301010303","CT,NY","Cross River",80.43,19873.76
"37922","37922","020301010203","CT,NY","Middle East Branch Croton River",65.58,16203.98
"37923","37923","020301010204","CT,NY","Lower East Branch Croton River",67.77,16745.69
"41618","41618","041300010504","NY","Lower Johnson Creek",48.91,12086.21
"41619","41619","041300010601","NY","Marsh Creek-Frontal Lake Ontario",89.84,22199.56
"41645","41645","042701010405","NY","Town of Amherst-Ellicott Creek",34.1,8426.98
"41649","41649","042701010202","NY","Middle Murder Creek",73.85,18248.09
"41650","41650","042701010105","NY","Little Tonawanda Creek",99.92,24691.38
"41651","41651","042701010106","NY","Village of Alexander-Tonawanda Creek",48.9,12083.21
"41653","41653","042701010303","NY","Beeman Creek",41.72,10308.06
