"","huc14","states","name","areasqkm","areaacres"
"4033","19010303040201","AK","Upper Ferebee River",33.12,8185.15
"4034","19010303050206","AK","Upper Dayehas Creek",15.01,3708.71
"4035","19010303030102","AK","19010303030102",21.52,5318.74
"4036","19010303030101","AK","19010303030101",13.82,3414.6
"4037","19010303040202","AK","19010303040202",7.97,1968.45
"4038","19010303130402","AK","19010303130402-Chunekukleik Mountain",12.23,3021.16
"4039","19010303130501","AK","Cottonwood Creek",10.97,2710.93
"4040","19010303150503","AK","19010303150503",4.35,1075.45
"4041","19010303040203","AK","19010303040203",10.22,2525.46
"4042","19010303020404","AK","Outlet East Fork Skagway River",30.74,7595.58
"4043","19010303150402","AK","Mount Rice-Davidson Glacier",71.6,17692.55
"4044","19010303010302","AK","19010303010302",17.56,4338.89
"4045","19010303010306","AK","Lower West Creek",40.55,10021.16
"4046","19010303110601","AK,CN","19010303110601",24.62,6084.61
"4047","19010303050203","AK","Snyder Creek",8.07,1992.96
"4048","19010105120303","AK","19010105120303",10.48,2590.2
"4049","19010303050202","AK","Burro Creek",32.39,8003.14
"4050","19010303050201","AK","Dewey Creek",12.37,3057.07
"4051","19010303070201","AK","19010303070201",16.01,3956.84
"4052","19010303070102","AK","19010303070102",37.5,9267.41
"4053","19010303050207","AK","Lower Dayehas Creek",14.63,3616.11
"4054","19010105130204","AK","19010105130204",5.71,1410.5
"4055","19010303130203","AK","Le Blondeau Glacier",37.99,9388.69
"4056","19010303030203","AK","19010303030203",17.71,4375.63
"4057","19010105100801","AK","19010105100801",5.18,1280.86
"4058","19010303040206","AK","Lower Ferebee River",39.45,9749.51
"4059","19010303040101","AK","19010303040101-Ferebee Glacier",12.84,3173.18
