"","X","huc12","states","name","areasqkm","areaacres","sorted_state"
"84667","84667","010500021602","ME","Lower Bagaduce River",103.5,25575.61,"ME"
"23817","23817","010500021701","ME","Mill Pond-Frontal Eggemoggin Reach",54,13344.57,"ME"
"84747","84747","010500021702","ME","Islands of Stonington Frontal Drainages",117.84,29118.33,"ME"
"23818","23818","010500021703","ME","Eggemoggin Reach-Jericho Bay",561.02,138631.03,"ME"
"84748","84748","010500021801","ME","Passagassawakeag River",113.94,28154.16,"ME"
"84745","84745","010500021802","ME","Swan Lake-Goose River",55.02,13595.86,"ME"
"23819","23819","010500021803","ME","Passagassawakeag River-Frontal Penobscot Bay",68.84,17010.41,"ME"
"84749","84749","010500021901","ME","Mill Brook",18.65,4609.15,"ME"
"84750","84750","010500021902","ME","Belfast Reservoir Number One-Little River",44.38,10966.31,"ME"
"84751","84751","010500021903","ME","Ducktrap River",89.72,22171.08,"ME"
"84752","84752","010500021904","ME","Megunticook River",79.84,19727.98,"ME"
"84753","84753","010500021905","ME","Hosmer Pond-Goose River",21.61,5341.11,"ME"
"23820","23820","010500021906","ME","Weskeag River-Frontal Muscle Ridge Channel",34.95,8636.47,"ME"
"23821","23821","010500021907","ME","Goose Pond-Frontal Penobscot Bay",223.78,55298.32,"ME"
"31466","31466","010500021908","ME","Islands of Penobscot Bay",206.23,50961.64,"ME"
"31467","31467","010500021909","ME","Penobscot Bay-Atlantic Ocean",2049.09,506339.85,"ME"
"84754","84754","010500030101","ME","Trues Pond",65.91,16286.51,"ME"
"84755","84755","010500030102","ME","Quantabacook Lake",98.77,24407.16,"ME"
"83552","83552","010500030103","ME","Sennebec Pond",129.98,32119.42,"ME"
"83553","83553","010500030104","ME","Seven Tree Pond",120.94,29884.93,"ME"
"83554","83554","010500030105","ME","Oyster River",62.23,15376.62,"ME"
"23822","23822","010500030106","ME","South Pond-Saint George River",120.33,29733.08,"ME"
"23823","23823","010500030107","ME","Saint George River",124.6,30789.93,"ME"
"83555","83555","010500030201","ME","Medomak Pond",135.8,33556.41,"ME"
"23824","23824","010500030202","ME","Goose River-Frontal Muscongus Bay",63.13,15600.68,"ME"
"83556","83556","010500030203","ME","Medomak River",144.86,35795.36,"ME"
"23825","23825","010500030204","ME","Round Pond-Frontal Muscongus Bay",45.06,11134.21,"ME"
"83557","83557","010500030205","ME","Islands of Muscongus Bay",25.6,6325.39,"ME"
"81493","81493","010500030206","ME","Muscongus Bay-Atlantic Ocean",455.05,112444.03,"ME"
"83559","83559","010500030301","ME","Pemaquid River",117.41,29012.71,"ME"
"83560","83560","010500030302","ME","Damariscotta Lake",147.51,36450.92,"ME"
"31498","31498","010500030303","ME","Johns River-Frontal Johns Bay",20.64,5100.8,"ME"
"23922","23922","010500030304","ME","Damariscotta River-Frontal Atlantic Ocean",119.91,29631.41,"ME"
"23923","23923","010500030305","ME","Meadow Brook-Frontal Boothbay Harbor",27.65,6831.23,"ME"
"83627","83627","010500030306","ME","Islands of Johns Bay-Islands of Boothbay Harbor",3.37,833.27,"ME"
"31375","31375","010500030307","ME","Johns Bay-Boothbay Harbor",165.2,40822.21,"ME"
"23924","23924","010500030401","ME","Sheepscot Pond-Sheepscot River",118.53,29289.55,"ME"
"83628","83628","010500030402","ME","West Branch Sheepscot River",131.47,32487.21,"ME"
"83643","83643","010500030403","ME","Clary Lake-Sheepscot River",125.05,30900.33,"ME"
"83629","83629","010500030404","ME","Dyer River",71.85,17755.71,"ME"
"83630","83630","010500030405","ME","Marsh River",70.15,17335.35,"ME"
"83631","83631","010500030406","ME","Sheepscot River",137.4,33953.34,"ME"
"83633","83633","010500030501","ME","Montsweag Brook",34.68,8570.66,"ME"
"83634","83634","010500030502","ME","Cross River",37.66,9305.51,"ME"
"23921","23921","010500030503","ME","Sheepscot River-Frontal Sheepscot Bay",195.95,48420.82,"ME"
