"","HUC_12","Pct_Land","Shape_Length","Shape_Area"
"405","010200040404",93.2209936057906,48659.7515754063,62903400.1842881
"406","010200040405",99.5561068748708,68147.4674064353,74020662.3588633
"407","010200040406",94.1736202605768,38425.887030738,43028540.6749973
"408","010200040407",99.7424845269673,69867.2216807171,81428789.7584232
"409","010200040408",99.7944020091348,45311.2510741516,69171121.2724947
"410","010200040409",97.1772902840315,87701.583503457,168693973.234657
"411","010200040410",99.2489050596486,63089.3676549011,92270865.0520445
"412","010200040501",86.8917330998571,72684.5121578265,156251626.543317
"413","010200040502",91.6803100671589,70342.1752639061,107737820.28366
"414","010200040503",94.8797062657647,62777.6152155978,116674075.500874
"415","010200040504",97.9894512726217,38143.8687576398,37183734.7377758
"416","010200040601",98.7825901030322,81086.5446398593,134696506.347718
"417","010200040602",75.5132877752468,68414.3740746298,118512199.18735
"418","010200040603",99.9577880962431,39670.1903050895,36259133.405903
"419","010200040604",97.7287301566528,83899.3154948167,137544651.654616
"420","010200050101",96.3014753248386,59163.3968530835,114572588.863618
"421","010200050102",99.2854862494109,46217.2401276249,59206032.044246
"422","010200050103",97.7495473657434,70691.120561897,120299360.175269
"423","010200050104",94.6630242130396,81667.6365246194,122881592.596582
"424","010200050201",95.7615871647267,73724.2649363966,106448110.26013
"425","010200050202",86.8988129332991,34705.464894395,45570978.1691361
"426","010200050203",99.9074184685223,45663.4309219219,60275909.245908
"427","010200050204",99.7474494397787,78041.0086217671,134725724.002551
"428","010200050205",89.6300781913989,48700.9378862087,84702915.1196325
"429","010200050206",87.9903163024731,65477.6243386036,113759938.38093
"430","010200050207",99.9552691307301,73449.5073785506,108661870.214492
"431","010200050208",93.6300671623891,69754.7823910547,120068860.210613
"432","010200050301",94.8545477245771,45989.6619225236,57669883.2020853
"433","010200050302",100,36098.0510112472,44609260.2101104
"434","010200050303",98.2911114703369,63853.8242039317,116916148.482392
"435","010200050304",87.5608666992707,35817.1425959527,42330606.0529886
"436","010200050305",79.9009828190486,97375.6792558269,183616730.627959
"437","010200050306",96.9053922628053,77048.6160997627,133268300.584527
"438","010200050307",96.9078497340611,89090.0655465411,128942278.465968
"439","010200050308",90.5721328005378,36586.7881698051,48207966.6664298
"440","010200050309",99.9786164866888,34302.1239892416,42087497.4078224
"441","010200050310",84.5607099949618,59880.2214232592,116124534.039527
"442","010200050311",98.0908497605699,74107.1850458922,114472205.867966
"443","010200050401",93.3825088963778,51621.47637665,76357402.6247747
"444","010200050402",99.8918820932145,83701.9395962307,139006565.948735
"445","010200050403",99.973025949037,44155.0899444602,50052420.0144045
"446","010200050404",99.8777566696952,47640.4107662317,54492180.4324061
"447","010200050405",99.9369147201717,79206.712111091,109867783.084491
"448","010200050406",99.6444825842438,43590.4718538477,58728132.5079046
"449","010200050407",99.7567877271345,54781.7995894452,76982459.2342988
